Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Henrikh Mkhitaryan,Inter,35.0,MF,it Serie A,4.999999999999999,4.264249,-0.7357511520385733,-0.1471502304077147
Isak Hien,Atalanta,25.0,DF,it Serie A,31.0,12.991627,-18.008373260498047,-0.5809152664676789
Pascal Groß,Dortmund,33.0,MF,de Bundesliga,6.0,6.4310355,0.43103551864624023,0.07183925310770671
Khéphren Thuram,Juventus,23.0,MF,it Serie A,41.00000000000001,26.328608,-14.671392440795906,-0.35783884001941224
Martin Ødegaard,Arsenal,25.0,MF,eng Premier League,85.99999999999997,66.848175,-19.151824951171847,-0.22269563896711456
Wilfred Ndidi,Leicester City,27.0,MF,eng Premier League,15.999999999999998,18.794016,2.794015884399416,0.17462599277496352
Abdoulaye Touré,Le Havre,30.0,MF,fr Ligue 1,4.0,4.177781,0.1777811050415039,0.04444527626037598
Thierno Barry,Villarreal,21.0,FW,es La Liga,21.0,27.956776,6.956775665283203,0.33127503168015254
Hugo Magnetti,Brest,26.0,MF,fr Ligue 1,6.999999999999999,5.445172,-1.554828166961669,-0.22211830956595274
Rafael Leão,Milan,25.0,FW,it Serie A,71.0,37.09592,-33.90407943725586,-0.47752224559515294
Etienne Youte Kinkoue,Le Havre,22.0,DF,fr Ligue 1,7.999999999999998,12.087218,4.087218284606935,0.510902285575867
Evanilson,Bournemouth,24.0,FW,eng Premier League,36.0,36.249565,0.24956512451171875,0.0069323645697699655
Gaetano Oristanio,Venezia,21.0,FW,it Serie A,6.999999999999999,18.88869,11.888690948486328,1.698384421212333
Jeremie Frimpong,Leverkusen,23.0,DF,de Bundesliga,51.0,24.249012,-26.750988006591797,-0.5245291765998391
